name,skills,project_count,internship,communication,branch,cgpa,certificates,backlogs,marks_10,marks_12,interest_domain,placed
Manish Khan,"React, SEO",1,No,3,Other,6.87,Power BI Certification,No,82.84,72.3,Digital Marketing,0
Rohit Jain,"JavaScript, Embedded Systems, Unity, C/C++",3,Yes,1,CSE,7.84,Google IT Support Certificate,No,79.82,88.79,Internet of Things (IoT),0
Simran Pandey,Kubernetes,1,No,3,Civil,8.12,Certified Ethical Hacker,No,77.83,74.13,Automation,1
Sneha Desai,"Embedded Systems, C++, Python, Kotlin",0,No,3,IT,6.87,AWS Certified Solutions Architect,No,89.15,73.43,Internet of Things (IoT),1
Pooja Das,"Java, Android Development, Kotlin",0,No,2,ECE,6.38,Deep Learning Specialization,No,68.4,61.66,Mobile Application Development,1
Maya Mehta,"Transformers, Tableau, CI/CD",0,Yes,4,Other,9.73,"Kaggle Micro-Course, Certified Ethical Hacker",No,85.98,97.59,Natural Language Processing (NLP),1
Manish Desai,"Embedded Systems, Python",2,Yes,3,ECE,7.17,Google IT Support,No,81.27,80.73,Data Science,0
Kavya Roy,,2,No,5,ECE,7.46,Kaggle Micro-Course,No,85.91,72.12,Hardware Design,0
Sneha Malhotra,Computer Vision,3,Yes,3,CSE,6.66,"Certified Ethical Hacker, Udemy Full Stack, IBM Data Science Professional Certificate",No,76.82,76.33,Artificial Intelligence,0
Neha Jain,"Angular, Docker, Linux, Kubernetes",1,No,3,Electrical,7.09,freeCodeCamp Certificate,No,65.03,70.3,Cloud Computing,0
Karan Iyer,"NLP, Solidity, Android Development",1,No,2,CSE,9.52,"TensorFlow Specialization, freeCodeCamp Certificate, Azure Fundamentals",No,94.61,81.63,Mobile Application Development,0
Aarav Garg,Transformers,0,No,4,Other,7.93,Certified Ethical Hacker,No,83.22,95.33,Natural Language Processing (NLP),0
Prachi Mehta,AWS,1,No,4,Mechanical,7.95,Tableau Certification,No,86.63,85.92,Business Intelligence,0
Arjun Chopra,"Embedded Systems, Control Systems",0,No,4,Other,7.55,CS50 Introduction to CS,No,85.21,77.1,Robotics,0
Kabir Pandey,"CSS, HTML, Networking",1,No,4,Civil,7.09,UI/UX Design Certificate,No,60.11,73.44,Web Development,0
Arjun Kapoor,"Deep Learning, Python",2,No,4,Civil,7.13,Google UX Design,No,79.12,70.97,Machine Learning,1
Ananya Chopra,"Power BI, Azure",0,Yes,4,ECE,7.63,Kaggle Micro-Course,No,83.46,90.09,Software Testing,1
Tanvi Das,Java,0,No,3,Civil,6.85,Google IT Support Certificate,No,80.49,80.47,Automation,1
Arjun Mehta,"Agile, Project Management",1,No,3,Mechanical,8.21,PMP basics,No,82.4,87.42,Project Management,1
Aditya Rao,"React, HTML",1,No,2,Other,6.71,Deep Learning Specialization,No,81.3,70.3,Web Development,1
Kavya Bhatt,"Cloud Computing, Docker, Linux, Azure",1,Yes,3,ECE,7.26,Certified Ethical Hacker,No,92.93,83.46,Cloud Computing,1
Sneha Pandey,CSS,0,No,3,ECE,7.45,Coursera ML,No,91.02,82.51,Web Development,0
Manish Garg,"Unity, Cyber Security, Linux",1,No,4,Mechanical,7.4,CS50 Certificate,Yes,78.6,78.59,Cyber Security,0
Manish Sharma,"UI/UX Design, Figma, Cyber Security, Kubernetes",1,Yes,3,CSE,8.26,Data Science Professional Certificate,No,84.03,83.2,UI/UX Design,1
Ananya Das,"NLP, Python, Docker, ETL, Transformers",0,No,3,Civil,8.43,"Certified Ethical Hacker, Google UX Design, CS50 Certificate",No,70.05,86.59,Natural Language Processing (NLP),0
Aditya Chopra,CSS,0,No,1,ECE,7.99,Google IT Support Certificate,Yes,83.7,80.07,Automation,1
Riya Patel,"UI/UX Design, Figma, Solidity, Kotlin",0,Yes,4,Civil,7.12,PMP Certification,No,79.43,66.86,UI/UX Design,1
Kabir Das,"Deep Learning, Data Analysis",1,No,2,CSE,8.4,IBM Data Science Professional Certificate,No,68.98,77.59,Machine Learning,0
Isha Patel,"Linux, Computer Vision",2,No,4,IT,5.38,Azure Fundamentals,No,79.75,49.31,Computer Vision,0
Vihaan Malhotra,"Embedded Systems, C/C++, Networking",0,No,2,Electrical,6.3,Data Science Professional Certificate,No,78.65,64.69,Embedded Systems,1
Sneha Patel,"Power BI, Cyber Security",1,No,3,ECE,4.39,"Coursera ML, Android Certification, Power BI Certification",Yes,86.45,62.27,Augmented Reality (AR) / Virtual Reality (VR),0
Aarav Chopra,Automation,0,Yes,3,CSE,6.92,"NPTEL DBMS, TensorFlow Specialization",No,77.27,81.79,Hardware Design,1
Sneha Desai,Data Analysis,0,No,2,IT,7.56,Google IT Support Certificate,No,90.97,80.32,Machine Learning,0
Tanvi Gupta,"React, Machine Learning, AWS, Deep Learning, Spark, CI/CD",3,Yes,3,ECE,6.72,"TensorFlow Specialization, NPTEL DBMS, Google UX Design",No,82.25,71.1,Artificial Intelligence,1
Rohit Rao,"C++, SQL, ETL",4,Yes,4,ECE,5.11,UI/UX Design Certificate,Yes,82.18,68.66,Data Engineering,0
Isha Shah,"PyTorch, Networking, Network Security",2,No,3,Electrical,7.01,Google IT Support Certificate,No,77.35,69.42,Networking,1
Aarav Patel,"AWS, OpenCV, Selenium, Software Testing",1,No,4,ECE,8.66,Coursera Python,No,85.34,88.16,Software Testing,1
Prachi Jain,Networking,0,No,4,ECE,6.95,Android Certification,No,87.41,80.23,Internet of Things (IoT),0
Riya Sharma,,0,No,3,ECE,8.06,Tableau Certification,No,87.59,75.1,Augmented Reality (AR) / Virtual Reality (VR),0
Simran Bhatt,HTML,2,Yes,4,Mechanical,4.98,Python for Everybody,No,86.71,67.6,Game Development,0
Tara Gupta,"Spark, SEO, Digital Marketing",1,Yes,4,CSE,4.29,CS50 Introduction to CS,Yes,78.29,45.8,Digital Marketing,0
Kavya Khan,"Android Development, JavaScript, Python, CSS, CI/CD, HTML",0,No,4,ECE,6.64,"Google IT Support, Udemy Full Stack",No,80.09,76.97,Web Development,1
Maya Kumar,"SQL, Machine Learning, Embedded Systems, Data Analysis, Python",1,Yes,3,ECE,7.96,freeCodeCamp Certificate,No,77.12,70.33,Data Science,0
Manish Bhat,NLP,1,Yes,3,ECE,8.2,"Cisco CCNA, CS50 Certificate, Android Certification",No,69.35,78.39,Augmented Reality (AR) / Virtual Reality (VR),0
Tara Bhatt,C++,1,Yes,3,ECE,5.42,Deep Learning Specialization,No,73.9,69.28,Project Management,0
Rahul Roy,"SQL, ETL",0,No,3,ECE,6.95,UI/UX Design Certificate,No,70.57,77.43,Data Engineering,1
Arjun Malhotra,"OpenCV, C++, SEO",2,Yes,4,Civil,7.53,UI/UX Design Certificate,No,78.6,78.13,Computer Vision,0
Riya Roy,Kubernetes,0,No,3,CSE,8.3,Deep Learning Specialization,No,83.36,80.71,Augmented Reality (AR) / Virtual Reality (VR),0
Tara Das,"SQL, Machine Learning, Data Analysis, Python, Deep Learning",2,Yes,2,CSE,7.66,NPTEL DBMS,No,81.26,74.37,Data Science,0
Aarav Shah,"NLP, CSS, HTML, Python",1,Yes,4,IT,7.74,"Udemy Full Stack, IBM Data Science Professional Certificate",No,73.34,77.29,Web Development,0
Tara Singh,"Java, Data Structures, Python",2,Yes,3,Mechanical,6.27,Certified Ethical Hacker,No,63.06,62.61,Software Development,1
Tara Khan,"Hardware, iOS Development, IT Support",1,No,3,ECE,8.27,Coursera Python,No,82.21,82.33,Information Technology (IT) Support,1
Kavya Joshi,OpenCV,1,Yes,4,Mechanical,7.0,"Coursera Python, Certified Ethical Hacker",No,61.72,75.5,Computer Vision,1
Karan Nair,,3,No,3,Civil,7.02,UI/UX Design Certificate,No,80.1,68.61,Networking,0
Tara Saxena,NLP,3,Yes,3,Mechanical,7.55,Google IT Support,No,76.78,76.41,Database Management,1
Manish Kumar,"Transformers, TensorFlow, Python",1,Yes,1,IT,5.95,Udemy Full Stack,Yes,78.47,67.26,Natural Language Processing (NLP),1
Vihaan Bhatt,"Spark, Automation, Software Testing, Docker",3,No,3,IT,9.15,Deep Learning Specialization,No,68.33,95.54,Software Testing,0
Vihaan Shah,"Spark, Selenium, Solidity, Blockchain",2,No,3,ECE,5.89,UI/UX Design Certificate,Yes,71.09,66.19,Cloud Computing,0
Sakshi Jain,"Transformers, Tableau, Python",3,Yes,3,Mechanical,7.55,Deep Learning Specialization,No,77.06,79.43,Natural Language Processing (NLP),0
Sneha Verma,"Android Development, Kotlin",2,Yes,3,Electrical,4.31,CS50 Introduction to CS,Yes,76.64,54.1,Mobile Application Development,0
Aarav Mehta,"Spark, Linux",1,No,3,CSE,5.49,Java Programming Masterclass,Yes,88.2,62.52,Computer Vision,1
Prachi Khan,Node.js,1,No,3,Civil,7.24,"Coursera ML, CS50 Certificate, freeCodeCamp Certificate",No,83.05,73.01,Augmented Reality (AR) / Virtual Reality (VR),1
Kavya Iyer,,2,Yes,2,Mechanical,7.67,Udemy Full Stack,No,82.94,83.33,Automation,0
Ishaan Verma,"Android Development, Kotlin, Embedded Systems, TensorFlow, Java, Spark, HTML",2,No,3,Other,7.6,AWS Cloud Practitioner,No,80.58,92.61,Mobile Application Development,0
Vedant Iyer,"Swift, Java, Android Development, Kotlin",1,No,3,ECE,8.67,AWS Certified Solutions Architect,No,73.31,80.54,Mobile Application Development,0
Tara Pandey,"Python, Machine Learning",0,Yes,4,Electrical,8.14,PMP Certification,No,79.78,80.55,Artificial Intelligence,1
Leena Iyer,Unity,1,Yes,3,IT,6.59,Python for Everybody,No,69.23,78.21,Data Engineering,1
Manish Gupta,Node.js,1,No,3,Civil,7.6,UI/UX Design Certificate,No,79.67,89.95,Game Development,1
Neha Garg,SEO,2,Yes,3,IT,8.36,Cisco CCNA,No,78.32,83.97,Business Intelligence,0
Rahul Khan,"Embedded Systems, Automation, Python",1,No,5,ECE,7.84,PMP Certification,No,77.38,84.58,Artificial Intelligence,0
Vihaan Verma,C/C++,2,Yes,4,ECE,5.7,"Cisco CCNA, AWS Cloud Practitioner, NPTEL DBMS",No,76.83,65.91,Embedded Systems,0
Kavya Joshi,React,1,Yes,3,Other,8.51,Cisco CCNA,No,79.8,93.3,Game Development,1
Maya Singh,Blockchain,0,No,3,Mechanical,7.75,AWS Certified Solutions Architect,No,74.49,84.43,Electronics Design,1
Tanvi Gupta,"React, Java, Networking",1,Yes,5,IT,8.14,"IBM Data Science Professional Certificate, Tableau Certification",Yes,75.42,75.27,Digital Marketing,0
Maya Joshi,Cyber Security,0,No,5,ECE,6.8,Coursera ML,No,74.14,85.06,Electronics Design,0
Aarav Chopra,"Hadoop, Spark",2,Yes,2,Electrical,8.33,Udemy Full Stack,No,77.62,90.9,Big Data Analytics,0
Sakshi Chopra,Figma,0,No,3,Other,6.48,Java Programming Masterclass,No,80.92,71.98,UI/UX Design,1
Pooja Singh,"AWS, Linux, Cyber Security, Networking",2,Yes,3,Mechanical,8.45,Data Science Professional Certificate,Yes,77.42,94.23,Cyber Security,0
Neha Bhatt,Cyber Security,2,No,3,Mechanical,6.59,"Power BI Certification, Google IT Support, AWS Cloud Practitioner",No,81.89,74.74,Cyber Security,1
Isha Bhatt,"Deep Learning, Docker, Networking",4,No,2,Electrical,6.63,UI/UX Design Certificate,No,63.4,65.12,Business Intelligence,0
Arjun Shah,"Deep Learning, Data Analysis, Python, Blockchain",0,No,3,Civil,10.0,PMP Certification,No,90.09,94.33,Machine Learning,1
Tanvi Saxena,"Machine Learning, TensorFlow, Python, Deep Learning, HTML, Computer Vision",3,Yes,2,Civil,5.18,Certified Ethical Hacker,Yes,83.96,60.79,Artificial Intelligence,0
Rohit Patel,"SEO, Digital Marketing",0,No,5,Civil,5.83,AWS Certified Solutions Architect,Yes,80.6,56.42,Digital Marketing,1
Simran Bhatt,"Java, Power BI, Python",2,No,3,ECE,5.62,Java Programming Masterclass,No,78.63,68.86,Big Data Analytics,1
Sakshi Joshi,"Node.js, OpenCV, Computer Vision",6,Yes,2,ECE,8.13,Java Programming Masterclass,No,79.96,84.9,Computer Vision,0
Tanvi Nair,"Deep Learning, Spark, Power BI, Python",0,No,4,ECE,7.11,AWS Certified Solutions Architect,No,84.22,72.03,Machine Learning,0
Neha Roy,"Cyber Security, Computer Vision, Machine Learning",1,Yes,4,CSE,7.86,Azure Fundamentals,No,78.02,82.27,Artificial Intelligence,1
Rahul Kumar,"SQL, CSS, ETL",1,Yes,4,CSE,7.76,Kaggle Micro-Course,No,79.72,87.74,Data Engineering,1
Simran Sharma,Docker,0,Yes,4,Mechanical,7.41,CS50 Certificate,No,88.27,81.04,Cloud Computing,0
Aditya Kapoor,"Cloud Computing, Docker, Linux, Solidity",0,No,3,ECE,7.99,Google IT Support Certificate,No,77.3,77.17,Cloud Computing,0
Vihaan Shah,Arduino,3,Yes,2,CSE,8.79,Certified Ethical Hacker,No,78.18,80.95,Digital Marketing,1
Tanvi Gupta,"Agile, CSS",3,Yes,5,ECE,7.42,Data Science Professional Certificate,No,83.72,74.93,Project Management,1
Arjun Mehta,Kubernetes,1,Yes,3,Mechanical,8.22,Google IT Support Certificate,No,76.35,82.23,Game Development,0
Manish Kapoor,"Cloud Computing, Arduino, Kubernetes",0,No,3,Civil,5.66,CS50 Introduction to CS,Yes,74.46,59.86,Cloud Computing,0
Ishaan Das,SEO,1,No,2,Mechanical,5.16,Deep Learning Specialization,Yes,84.51,66.72,Hardware Design,0
Maya Kapoor,iOS Development,2,Yes,4,Civil,8.89,Data Science Professional Certificate,Yes,67.77,95.91,DevOps,1
Arjun Pandey,"Node.js, React, Android Development, Kotlin",3,No,3,Civil,7.05,Coursera Python,No,76.93,75.54,Mobile Application Development,1
Pooja Kapoor,,0,No,3,Electrical,7.82,"Android Certification, Certified Ethical Hacker, fast.ai course",No,90.78,81.68,UI/UX Design,0
Pooja Pandey,"SQL, Data Analysis, Java, Python, Hadoop",2,No,4,CSE,7.1,AWS Certified Solutions Architect,No,82.47,85.48,Data Science,0
Tanvi Jain,"Cryptography, Solidity",0,No,2,Electrical,8.46,Java Programming Masterclass,No,71.47,94.55,Blockchain Technology,1
Pooja Jain,UI/UX Design,3,Yes,5,ECE,7.34,CS50 Introduction to CS,No,79.08,75.06,UI/UX Design,1
Neha Desai,"Big Data, ETL",4,No,4,Civil,6.9,Android Certification,No,86.14,65.65,Data Engineering,0
Prachi Shah,"Docker, Linux",1,No,3,IT,7.23,"Google IT Support, TensorFlow Specialization, NPTEL DBMS",No,77.79,77.42,Cloud Computing,0
Isha Saxena,Swift,1,No,2,Mechanical,6.99,Java Programming Masterclass,Yes,83.36,77.7,Electronics Design,1
Leena Verma,Unity,2,Yes,2,ECE,6.76,UI/UX Design Certificate,No,90.22,68.48,Hardware Design,0
Tanvi Kapoor,SQL,1,Yes,5,Civil,6.49,PMP Certification,No,84.98,63.91,Data Engineering,0
Sneha Pandey,,1,No,2,Mechanical,7.8,Udemy Full Stack,No,78.84,90.71,Big Data Analytics,0
Aarav Iyer,"Embedded Systems, Cisco, SQL, Networking",0,No,5,Electrical,8.6,Java Programming Masterclass,No,88.34,91.41,Networking,0
Kabir Chopra,Selenium,0,No,4,Electrical,5.14,Certified Ethical Hacker,Yes,65.01,63.4,Software Testing,1
Arjun Kapoor,"Node.js, Data Analysis, Python, Machine Learning",0,No,3,ECE,9.82,"Coursera ML, AWS Cloud Practitioner, Azure Fundamentals",No,89.93,92.8,Data Science,1
Karan Singh,"Automation, Selenium, Kubernetes, Android Development",2,No,4,Other,5.14,Google IT Support Certificate,Yes,73.0,58.98,Automation,1
Prachi Jain,Agile,1,No,4,Mechanical,7.47,"Power BI Certification, Udemy Full Stack",No,87.48,83.15,Project Management,0
Ishaan Mehta,,0,No,2,Civil,6.96,Certified Ethical Hacker,No,85.13,82.76,Big Data Analytics,0
Karan Verma,Deep Learning,1,No,4,IT,8.58,PMP Certification,No,74.86,84.86,Hardware Design,1
Vedant Singh,"JavaScript, React, HTML, Machine Learning",2,Yes,3,Other,8.73,AWS Certified Solutions Architect,No,75.87,76.86,Web Development,0
Arjun Desai,TensorFlow,3,Yes,2,Civil,7.2,PMP Certification,No,84.5,72.98,Data Science,1
Tara Verma,"SQL, Database Design",1,No,3,Other,8.69,PMP Certification,No,71.05,87.04,Database Management,1
Ananya Patel,"NLP, Docker, Networking",2,Yes,3,Other,5.26,AWS Certified Solutions Architect,Yes,73.21,64.18,Networking,0
Kavya Das,"Embedded Systems, C/C++",0,Yes,2,ECE,7.43,AWS Certified Solutions Architect,No,80.55,71.96,Internet of Things (IoT),1
Kavya Desai,"Docker, Linux, Swift",2,Yes,3,ECE,8.03,Google IT Support,No,85.78,80.8,Cloud Computing,1
Neha Bhat,"React, Java, CSS",0,No,2,CSE,7.28,freeCodeCamp Certificate,No,75.86,78.22,Web Development,1
Rohit Sharma,"C/C++, Python",2,No,3,IT,9.06,PMP basics,No,66.87,98.94,Internet of Things (IoT),0
Simran Pandey,"CSS, Swift",1,No,5,Mechanical,7.68,fast.ai course,No,78.8,79.97,Data Engineering,1
Vihaan Singh,"Automation, Machine Learning, Power BI, Linux, Deep Learning",0,Yes,3,IT,6.49,Certified Ethical Hacker,No,83.58,73.21,Artificial Intelligence,1
Sakshi Joshi,"OpenCV, Docker, Kubernetes",1,Yes,3,Mechanical,8.65,Python for Everybody,No,77.3,90.08,DevOps,1
Isha Das,"C++, Java, Data Structures",1,Yes,3,Mechanical,6.6,Coursera ML,No,87.55,78.67,Software Development,1
Karan Kapoor,Hadoop,2,No,2,IT,8.75,Deep Learning Specialization,No,76.98,88.73,Business Intelligence,1
Sneha Kumar,"UI/UX Design, C++",2,No,4,Civil,6.56,Tableau Certification,No,65.2,79.21,UI/UX Design,0
Sakshi Verma,"VHDL, Embedded Systems, Python",1,Yes,4,Other,6.39,Data Science Professional Certificate,No,67.34,65.19,Robotics,1
Vihaan Singh,Selenium,2,Yes,4,ECE,6.91,Coursera Python,No,91.18,65.64,Automation,1
Vihaan Iyer,"Linux, SEO",2,Yes,2,CSE,7.9,Python for Everybody,No,87.57,78.25,Digital Marketing,0
Ananya Rao,,3,Yes,4,Other,7.26,AWS Cloud Practitioner,No,85.98,65.84,Augmented Reality (AR) / Virtual Reality (VR),1
Leena Iyer,Agile,1,No,3,Electrical,8.14,NPTEL DBMS,No,78.33,83.7,Project Management,0
Tara Roy,"Cloud Computing, Java",0,No,4,Other,6.84,Coursera ML,No,77.2,56.47,Cloud Computing,0
Simran Iyer,SEO,0,No,1,CSE,6.17,"Cisco CCNA, IBM Data Science Professional Certificate",No,80.87,65.34,Digital Marketing,0
Simran Mehta,"Big Data, SQL",1,Yes,3,Other,6.69,Google UX Design,No,85.22,73.68,Data Engineering,0
Kavya Patel,"Hardware, IT Support, Figma",2,No,4,Mechanical,5.95,Tableau Certification,Yes,79.24,66.65,Information Technology (IT) Support,0
Manish Jain,Python,1,No,2,Electrical,6.36,Power BI Certification,No,89.85,66.26,Data Science,0
Karan Malhotra,"Automation, Java, Python, Data Structures, C++",1,Yes,3,Mechanical,6.09,Kaggle Micro-Course,No,81.06,75.49,Software Development,1
Manish Rao,,1,No,4,ECE,8.11,Data Science Professional Certificate,No,77.3,79.24,Machine Learning,1
Rahul Gupta,"Deep Learning, Blockchain, Python, Machine Learning",0,No,4,Electrical,7.29,AWS Certified Solutions Architect,No,77.77,71.92,Artificial Intelligence,0
Prachi Garg,"Java, Kotlin",2,No,2,Other,6.15,UI/UX Design Certificate,No,74.26,73.08,Mobile Application Development,0
Arjun Das,"Automation, Selenium, Software Testing",3,No,3,CSE,9.24,Cisco CCNA,No,76.01,86.51,Software Testing,0
Kabir Iyer,"IT Support, Networking, SEO, Hardware, Swift",0,Yes,5,ECE,8.06,Tableau Certification,Yes,74.48,88.63,Information Technology (IT) Support,1
Kavya Das,"Linux, Kubernetes",0,No,4,Electrical,7.54,freeCodeCamp Certificate,No,72.53,78.85,Cloud Computing,1
Karan Pandey,TensorFlow,2,No,2,Mechanical,6.96,Deep Learning Specialization,Yes,68.35,72.72,Hardware Design,0
Vedant Khan,"Docker, Kubernetes",2,Yes,3,Electrical,7.84,"Google IT Support, Cisco CCNA",No,74.41,80.95,Electronics Design,1
Aditya Iyer,"CSS, Linux, Networking",3,No,3,Civil,7.34,AWS Certified Solutions Architect,No,75.48,79.49,Cyber Security,1
Sneha Joshi,"Networking, Network Security, JavaScript, Cisco, Azure",3,No,3,Civil,7.3,NPTEL DBMS,No,80.98,73.74,Networking,1
Vihaan Rao,Spark,0,Yes,5,IT,6.17,"Kaggle Micro-Course, Coursera Python",No,82.85,67.72,Big Data Analytics,0
Rohit Shah,Networking,3,No,3,Mechanical,7.47,Udemy Full Stack,No,73.49,80.67,Cyber Security,1
Kabir Joshi,"Agile, Python, Project Management",2,Yes,3,CSE,7.05,fast.ai course,No,78.38,78.59,Project Management,1
Kavya Jain,"React, SQL, Data Analysis, Python",2,Yes,4,ECE,5.95,Power BI Certification,Yes,82.75,63.68,Data Science,1
Vedant Mehta,"VHDL, Linux, Python, Agile, Cyber Security",1,Yes,3,Electrical,6.2,Azure Fundamentals,No,70.06,74.47,Project Management,1
Leena Das,"Cryptography, SQL, Docker, Solidity",4,Yes,3,Civil,7.14,Azure Fundamentals,No,74.71,70.54,Blockchain Technology,0
Ishaan Nair,"JavaScript, Computer Vision",0,No,2,Civil,6.85,Data Science Professional Certificate,No,82.02,69.22,Computer Vision,0
Vihaan Singh,"Embedded Systems, Figma, OpenCV, Control Systems, HTML",2,No,4,IT,7.0,"fast.ai course, Udemy Full Stack, Coursera Python",No,82.68,68.78,Robotics,1
Vedant Desai,"iOS Development, Azure",2,No,2,Other,6.22,Google IT Support Certificate,No,81.62,62.83,Robotics,0
Isha Mehta,"Data Structures, Kotlin",2,No,4,Mechanical,5.8,AWS Certified Solutions Architect,Yes,76.79,60.2,Software Development,0
Pooja Verma,"Node.js, Cyber Security",0,No,3,IT,7.25,"Cisco CCNA, NPTEL DBMS",Yes,80.32,79.7,Electronics Design,1
Tara Iyer,"SQL, Data Analysis, Python, Swift",1,No,3,Mechanical,7.12,Python for Everybody,No,71.75,79.96,Data Science,1
Vihaan Shah,"OpenCV, SQL, Data Analysis, Azure",1,No,2,ECE,6.54,CS50 Certificate,No,87.63,70.32,Data Science,1
Manish Chopra,"Transformers, PyTorch",2,No,3,IT,8.12,"Google UX Design, Android Certification, freeCodeCamp Certificate",No,91.73,82.45,Natural Language Processing (NLP),0
Ananya Pandey,Java,3,No,2,ECE,8.45,Google IT Support Certificate,No,72.07,82.25,Hardware Design,0
Maya Shah,"SQL, Python",3,Yes,3,Mechanical,9.12,"Udemy Full Stack, Cisco CCNA, Azure Fundamentals",No,75.37,83.73,Data Science,1
Vedant Verma,"OpenCV, Selenium, Software Testing",2,Yes,5,IT,5.17,Cisco CCNA,No,87.88,50.68,Software Testing,1
Manish Khan,"Networking, Blockchain",2,Yes,3,ECE,5.79,UI/UX Design Certificate,No,79.35,56.87,Networking,0
Neha Bhat,Python,1,Yes,3,Electrical,8.91,CS50 Introduction to CS,No,99.0,86.94,Hardware Design,0
Tanvi Verma,Automation,4,Yes,4,Other,5.65,Coursera Python,No,80.16,68.24,Project Management,1
Vihaan Desai,"Machine Learning, Python, Deep Learning, Computer Vision, Azure",1,Yes,4,Civil,7.09,Google UX Design,No,82.02,79.98,Artificial Intelligence,1
Vedant Khan,"Automation, Selenium, Software Testing, Figma",0,No,3,Other,6.77,Java Programming Masterclass,No,78.02,68.46,Software Testing,0
Karan Shah,Networking,2,Yes,3,Mechanical,8.1,Power BI Certification,No,79.77,78.29,Augmented Reality (AR) / Virtual Reality (VR),1
Aarav Rao,"Tableau, Cryptography, Machine Learning, Blockchain",0,No,4,IT,7.25,PMP Certification,No,74.58,83.56,Blockchain Technology,0
Prachi Das,Figma,1,Yes,2,ECE,6.49,Java Programming Masterclass,No,77.78,79.45,Game Development,0
Neha Gupta,NLP,1,No,5,Other,5.44,AWS Certified Solutions Architect,Yes,73.65,61.3,Automation,0
Ananya Bhatt,"Automation, Linux, Blockchain, Node.js, Cyber Security",2,No,2,IT,6.42,Certified Ethical Hacker,No,91.59,77.8,Cyber Security,1
Manish Roy,"Transformers, Solidity",0,No,4,ECE,7.9,Java Programming Masterclass,No,80.54,85.79,Natural Language Processing (NLP),0
Tanvi Gupta,NLP,0,No,2,ECE,7.15,CS50 Certificate,Yes,88.02,82.28,Natural Language Processing (NLP),0
Riya Kapoor,"SQL, Power BI",1,No,3,CSE,7.57,Cisco CCNA,No,81.41,81.3,Data Engineering,0
Rahul Rao,Machine Learning,2,No,3,Mechanical,8.73,Power BI Certification,No,76.03,94.41,Machine Learning,1
Leena Bhatt,"Spark, Kubernetes",0,No,3,Mechanical,5.11,PMP basics,No,67.54,57.52,UI/UX Design,0
Riya Khan,"Hadoop, Big Data, CSS, Spark",3,Yes,2,CSE,5.87,"Google IT Support, Tableau Certification",No,81.39,65.09,Big Data Analytics,1
Riya Sharma,"React, Project Management",0,No,2,Mechanical,5.43,Udemy Full Stack,Yes,78.3,63.82,Project Management,1
Ananya Singh,"C++, Data Structures, Python",2,Yes,1,IT,7.58,"Azure Fundamentals, Tableau Certification",No,88.28,71.93,Software Development,1
Manish Kumar,"Java, Networking, Swift",2,Yes,3,ECE,6.25,Python for Everybody,No,81.39,66.11,Mobile Application Development,1
Kabir Nair,"Hadoop, Docker",1,Yes,2,IT,6.56,Certified Ethical Hacker,No,78.6,71.23,Big Data Analytics,0
Maya Gupta,"Transformers, Embedded Systems, Python",2,Yes,3,IT,6.68,"Google IT Support, Coursera ML, CS50 Certificate",No,87.56,69.68,Natural Language Processing (NLP),1
Sakshi Roy,,5,No,2,Other,8.17,Certified Ethical Hacker,No,72.46,89.02,Game Development,1
Prachi Nair,Java,3,Yes,3,Electrical,6.82,Certified Ethical Hacker,No,69.62,76.09,Business Intelligence,0
Simran Kumar,"SQL, Kotlin",1,Yes,3,Mechanical,7.17,Google IT Support,No,94.61,67.58,Data Engineering,0
Manish Bhat,Selenium,0,No,5,IT,7.02,Azure Fundamentals,No,81.95,77.36,Information Technology (IT) Support,0
Manish Khan,"Angular, Swift",0,Yes,3,Other,4.69,Python for Everybody,No,73.83,54.69,Project Management,0
Simran Singh,,2,No,3,Mechanical,5.45,Data Science Professional Certificate,No,79.97,66.93,Electronics Design,0
Arjun Rao,"JavaScript, React, CSS",1,Yes,3,Other,7.68,CS50 Introduction to CS,No,81.24,80.75,Web Development,0
Ishaan Saxena,iOS Development,2,No,2,Civil,6.95,Python for Everybody,No,77.4,80.55,Automation,0
Ananya Das,,0,No,3,Other,7.0,Certified Ethical Hacker,No,74.15,78.67,Database Management,0
Manish Gupta,AWS,0,No,3,Electrical,8.85,"Coursera ML, Azure Fundamentals",No,82.04,77.93,Augmented Reality (AR) / Virtual Reality (VR),0
Kavya Khan,Tableau,1,Yes,2,Electrical,7.31,Certified Ethical Hacker,No,75.97,76.65,Automation,0
Simran Khan,"C/C++, NLP, Embedded Systems, Data Analysis, Linux, Python",1,No,3,Mechanical,7.03,AWS Cloud Practitioner,No,80.66,69.98,Internet of Things (IoT),1
Aditya Shah,Angular,1,Yes,4,Civil,7.23,Google UX Design,No,82.08,70.18,Software Development,0
Isha Patel,"JavaScript, Cryptography, Linux, Blockchain",1,No,3,ECE,6.11,PMP Certification,No,76.83,60.92,Blockchain Technology,0
Neha Verma,"Big Data, Python",3,Yes,3,IT,6.33,Data Science Professional Certificate,No,89.42,71.58,Big Data Analytics,1
Simran Bhatt,,3,No,5,ECE,7.56,Data Science Professional Certificate,No,82.86,74.72,Web Development,0
Kavya Das,"JavaScript, HTML",1,No,3,Other,7.46,"Android Certification, Google UX Design",No,67.39,73.79,Web Development,0
